         896
   41.06727     -0.4667636    
 -4.1856937E-02   40.66739    
  5.3239916E-02  7.0726998E-02
  0.8598250       1.339696    
  0.1449916       2.730561    
  0.7548545       3.890804    
  6.6401958E-02   5.208605    
  0.8802376       6.544223    
  0.2698577       7.824390    
  0.9119987       9.115104    
  9.3081109E-02   10.17926    
  0.7391772       11.50667    
 -7.3160775E-02   12.66237    
  0.5829247       14.02553    
   40.82227       15.31343    
  0.4748691       16.56217    
 -0.1743136       17.83633    
  0.7135298       19.11913    
 -3.8478449E-02   20.38598    
  0.6280404       21.72717    
 -0.1359446       23.01093    
  0.6860200       24.20478    
 -6.7935005E-02   25.41820    
  0.6761783       26.81657    
 -0.1615832       28.01802    
  0.4164203       29.11102    
   40.69053       30.28721    
  0.2901742       31.66841    
   40.60107       32.83743    
  0.3069843       34.26294    
   40.64979       35.47550    
  0.3518414       36.87065    
   40.54992       38.13604    
  0.4034184       39.43567    
   1.624115      6.0024150E-02
   2.442706       1.498322    
   1.586818       2.571940    
   2.194352       3.803550    
   1.556607       5.198805    
   2.298026       6.401007    
   1.723503       7.787657    
   2.340959       9.026033    
   1.405943       10.30324    
   2.131143       11.62899    
   1.413008       12.84604    
   2.029448       14.09003    
   1.281815       15.35187    
   2.100805       16.63734    
   1.324099       17.83444    
   2.114502       19.04214    
   1.492270       20.44663    
   2.154507       21.79721    
   1.318131       22.94065    
   2.134575       24.19407    
   1.294180       25.46329    
   2.149941       26.79701    
   1.386546       28.05141    
   1.862926       29.27866    
   1.141367       30.35762    
   1.778815       31.73094    
   1.011529       32.93336    
   1.832351       34.29612    
   1.141804       35.55238    
   1.896298       36.84472    
   1.092024       38.14024    
   1.894117       39.57875    
   3.039529      0.2644804    
   3.980113       1.500445    
   3.096493       2.641190    
   3.749654       3.816627    
   3.013730       5.021923    
   3.512656       6.372646    
   2.861133       7.628160    
   3.580499       9.043430    
   2.902717       10.34102    
   3.612340       11.60631    
   2.957788       12.95180    
   3.669207       14.04267    
   2.817785       15.35718    
   3.615218       16.52303    
   2.811181       17.76116    
   3.450245       19.13611    
   2.893739       20.44706    
   3.672853       21.70700    
   2.936580       23.05730    
   3.658406       24.31694    
   2.707409       25.55847    
   3.579161       26.87271    
   2.699195       28.09232    
   3.493752       29.46574    
   2.539717       30.47583    
   3.445181       31.75428    
   2.568740       33.00597    
   3.277650       34.27457    
   2.578347       35.57734    
   3.313624       36.87472    
   2.486182       38.14151    
   3.252235       39.53242    
   4.541101      0.1176883    
   5.463191       1.248934    
   4.617560       2.537226    
   5.126215       3.836505    
   4.427531       5.112858    
   5.046172       6.454831    
   4.357784       7.743293    
   5.057980       9.124896    
   4.327833       10.30502    
   5.087865       11.49373    
   4.391325       12.84303    
   5.010951       14.07205    
   4.268693       15.38012    
   5.067847       16.73390    
   4.340024       18.05633    
   5.283536       19.45646    
   4.297763       20.39458    
   4.987200       21.73795    
   4.226447       23.04999    
   5.114517       24.35940    
   4.215323       25.59252    
   5.084578       26.99535    
   4.162465       28.26443    
   4.928197       29.57916    
   4.083148       30.85465    
   4.885936       31.91256    
   4.136974       33.10739    
   4.846658       34.31236    
   3.892752       35.51793    
   4.834116       36.96561    
   3.852511       38.16673    
   4.678759       39.54214    
   6.115356      5.4940600E-03
   6.821145       1.345565    
   6.019341       2.601389    
   6.668340       4.094790    
   5.875507       5.121620    
   6.491703       6.485849    
   5.704535       7.745166    
   6.547848       8.976658    
   5.849644       10.30843    
   6.619160       11.55085    
   5.847593       12.86644    
   6.522024       14.18468    
   5.773859       15.49685    
   6.602356       16.69721    
   5.828782       17.92329    
   6.540684       19.23897    
   5.786223       20.56281    
   6.514421       21.77209    
   5.742944       23.02978    
   6.598004       24.29764    
   5.792645       25.60321    
   6.317642       26.85972    
   5.644790       28.19338    
   6.505723       29.39020    
   5.576743       30.61576    
   6.418814       31.96506    
